44. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 11, ARS-UCD1.2, whole genome shotgun sequence
52. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 7, ARS-UCD1.2, whole genome shotgun sequence
76. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 5, ARS-UCD1.2, whole genome shotgun sequence
161. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 22, ARS-UCD1.2, whole genome shotgun sequence
219. Bos taurus interleukin 6 (IL6), mRNA
255. Bos taurus interleukin 12A (IL12A), mRNA
312. Bos taurus interleukin 12B (IL12B), mRNA
316. Bos taurus interleukin 1 beta (IL1B), mRNA
319. Bos taurus interleukin 1 alpha (IL1A), mRNA
399. Bos taurus interleukin 10 (IL10), mRNA
538. Bos taurus interleukin 1 receptor type 1 (IL1R1), mRNA
640. Bos taurus interleukin 18 (IL18), mRNA
659. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 18, ARS-UCD1.2, whole genome shotgun sequence
670. Bos taurus interleukin 2 (IL2), mRNA
739. Bos taurus interleukin 15-like (IL-15L), mRNA
740. Bos taurus interleukin enhancer binding factor 2 (ILF2), mRNA
787. Bos taurus interleukin 10 receptor subunit alpha (IL10RA), mRNA
802. Bos taurus interleukin enhancer binding factor 3 (ILF3), mRNA
811. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 1, ARS-UCD1.2, whole genome shotgun sequence
814. Bos taurus interleukin 8 gene, 5' UTR and partial cds
900. Bos taurus interleukin 4 receptor (IL4R), mRNA
901. Bos taurus interleukin 2 receptor subunit gamma (IL2RG), mRNA
938. Bos taurus interleukin 22 receptor subunit alpha 1 (IL22RA1), mRNA
940. Bos taurus interleukin 2 receptor subunit alpha (IL2RA), mRNA
950. Bos taurus interleukin 4 (IL4), mRNA
974. Bos taurus interleukin 6 receptor (IL6R), mRNA
1037. Bos taurus clone CS16B interleukin 4 (IL4) gene, complete cds
1057. Bos taurus interleukin 3 gene, promoter region and partial cds
1207. Bos indicus x Bos taurus breed Karan Friesian clone 5 interleukin 10 receptor beta mRNA, complete cds
1233. Bos taurus interleukin 12 receptor subunit beta 2 (IL12RB2), mRNA
1234. Bos taurus interleukin 1 receptor type 2 (IL1R2), mRNA
1235. Bos taurus interleukin 20 receptor subunit beta (IL20RB), mRNA
1236. Bos taurus interleukin 20 receptor subunit alpha (IL20RA), mRNA
1237. Bos taurus interleukin 13 receptor subunit alpha 2 (IL13RA2), mRNA
1238. Bos taurus interleukin 27 receptor subunit alpha (IL27RA), mRNA
1239. Bos taurus interleukin 17 receptor B (IL17RB), mRNA
1240. Bos taurus interleukin 11 receptor subunit alpha (IL11RA), mRNA
1241. Bos taurus interleukin 15 (IL15), mRNA
1287. Bos taurus interleukin 16 (IL16), mRNA
1289. Bos taurus interleukin 17A (IL17A), mRNA
1630. Bos taurus interleukin 13 receptor subunit alpha 1 (IL13RA1), mRNA
1631. Bos taurus interleukin 23 subunit alpha (IL23A), mRNA
1632. Bos taurus interleukin 1 family member 10 (IL1F10), mRNA
1640. Bos taurus interleukin 10 receptor subunit beta (IL10RB), mRNA
1641. Bos taurus interleukin 36 receptor antagonist (IL36RN), mRNA
1759. PREDICTED: Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X5, mRNA
1760. PREDICTED: Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X4, mRNA
1761. PREDICTED: Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X3, mRNA
1762. PREDICTED: Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X2, mRNA
1763. PREDICTED: Bos taurus interleukin enhancer binding factor 3 (ILF3), transcript variant X1, mRNA
1764. PREDICTED: Bos taurus interleukin 15-like (IL-15L), transcript variant X1, mRNA
1874. Bos taurus interleukin 17 precursor (IL17) mRNA, partial cds
1877. Bos taurus haplotype GCAA interleukin 8 receptor-like protein (IL8R) gene, partial cds
1878. Bos taurus haplotype ACCC interleukin 8 receptor-like protein (IL8R) gene, partial cds
1879. Bos taurus haplotype AGCC interleukin 8 receptor-like protein (IL8R) gene, partial cds
1880. Bos taurus haplotype GCCA interleukin 8 receptor-like protein (IL8R) gene, partial cds
1881. Bos taurus haplotype GCCC interleukin 8 receptor-like protein (IL8R) gene, partial cds
1884. Bos taurus interleukin 17 (IL-17) gene, partial cds
2577. Bos taurus x Bos indicus interleukin 2 (IL-2) gene, IL-2-C allele, exon 4 and partial cds
2578. Bos taurus x Bos indicus interleukin 2 (IL-2) gene, IL-2-B allele, exon 4 and partial cds
2579. Bos taurus x Bos indicus interleukin 2 (IL-2) gene, IL-2-A allele, exon 4 and partial cds
2580. Bos taurus x Bos indicus interleukin 2 (IL-2) gene, IL-2-B allele, exon 3 and partial cds
2581. Bos taurus x Bos indicus interleukin 2 (IL-2) gene, IL-2-A allele, exon 3 and partial cds
2582. Bos taurus x Bos indicus interleukin 2 (IL-2) gene, IL-2-A allele, exons 1, 2 and partial cds
3018. Bos taurus interleukin 15-like protein (IL-15L) mRNA, complete cds
3058. Bos taurus interleukin 32 beta mRNA, complete cds
3059. Bos taurus interleukin 32 gamma mRNA, complete cds
3249. Bos taurus breed Holstein interleukin 8 (IL-8) mRNA, complete cds
3552. Bos taurus interleukin 12 35 kDa subunit mRNA, complete cds
3553. Bos taurus interleukin 12 40 kDa subunit mRNA, complete cds
3593. Bos taurus isolate S3213-B interleukin 5 (IL5) gene, complete cds
3594. Bos taurus isolate S3213-A interleukin 5 (IL5) gene, complete cds
3595. Bos taurus isolate SK2-B interleukin 5 (IL5) gene, complete cds
3596. Bos taurus isolate SK2-A interleukin 5 (IL5) gene, complete cds
3597. Bos taurus isolate HL20-B interleukin 5 (IL5) gene, complete cds
3598. Bos taurus isolate HL20-A interleukin 5 (IL5) gene, complete cds
3599. Bos taurus isolate AA4-B interleukin 5 (IL5) gene, complete cds
3600. Bos taurus isolate AA4-A interleukin 5 (IL5) gene, complete cds
3605. Bos taurus isolate S3215-B interleukin 5 (IL5) gene, complete cds
3606. Bos taurus isolate S3215-A interleukin 5 (IL5) gene, complete cds
3607. Bos taurus isolate SK4-B interleukin 5 (IL5) gene, complete cds
3608. Bos taurus isolate SK4-A interleukin 5 (IL5) gene, complete cds
3609. Bos taurus isolate HL31-B interleukin 5 (IL5) gene, complete cds
3610. Bos taurus isolate HL31-A interleukin 5 (IL5) gene, complete cds
3611. Bos taurus isolate AA5-B interleukin 5 (IL5) gene, complete cds
3612. Bos taurus isolate AA5-A interleukin 5 (IL5) gene, complete cds
3615. Bos taurus isolate S3217-B interleukin 5 (IL5) gene, complete cds
3616. Bos taurus isolate S3217-A interleukin 5 (IL5) gene, complete cds
3617. Bos taurus isolate AB2-B interleukin 5 (IL5) gene, complete cds
3618. Bos taurus isolate AB2-A interleukin 5 (IL5) gene, complete cds
3619. Bos taurus isolate Aln7-B interleukin 5 (IL5) gene, complete cds
3620. Bos taurus isolate Aln7-A interleukin 5 (IL5) gene, complete cds
3621. Bos taurus isolate Fr6-B interleukin 5 (IL5) gene, complete cds
3622. Bos taurus isolate Fr6-A interleukin 5 (IL5) gene, complete cds
3627. Bos taurus isolate S3221-B interleukin 5 (IL5) gene, complete cds
3628. Bos taurus isolate S3221-A interleukin 5 (IL5) gene, complete cds
3629. Bos taurus isolate AB14-B interleukin 5 (IL5) gene, complete cds
3630. Bos taurus isolate AB14-A interleukin 5 (IL5) gene, complete cds
3631. Bos taurus isolate Aln27-B interleukin 5 (IL5) gene, complete cds
3632. Bos taurus isolate Aln27-A interleukin 5 (IL5) gene, complete cds
3633. Bos taurus isolate Fr7-B interleukin 5 (IL5) gene, complete cds
3634. Bos taurus isolate Fr7-A interleukin 5 (IL5) gene, complete cds
3637. Bos taurus isolate Thr10b-B interleukin 5 (IL5) gene, complete cds
3638. Bos taurus isolate Thr10b-A interleukin 5 (IL5) gene, complete cds
3639. Bos taurus isolate L17-B interleukin 5 (IL5) gene, complete cds
3640. Bos taurus isolate L17-A interleukin 5 (IL5) gene, complete cds
3641. Bos taurus isolate NG6-B interleukin 5 (IL5) gene, complete cds
3642. Bos taurus isolate NG6-A interleukin 5 (IL5) gene, complete cds
3643. Bos taurus isolate Mrt1-B interleukin 5 (IL5) gene, complete cds
3644. Bos taurus isolate Mrt1-A interleukin 5 (IL5) gene, complete cds
3645. Bos taurus isolate NR12-B interleukin 5 (IL5) gene, complete cds
3646. Bos taurus isolate NR12-A interleukin 5 (IL5) gene, complete cds
3649. Bos taurus isolate L19-B interleukin 5 (IL5) gene, complete cds
3650. Bos taurus isolate L19-A interleukin 5 (IL5) gene, complete cds
3651. Bos taurus isolate NG37-B interleukin 5 (IL5) gene, complete cds
3652. Bos taurus isolate NG37-A interleukin 5 (IL5) gene, complete cds
3653. Bos taurus isolate Mrt17-B interleukin 5 (IL5) gene, complete cds
3654. Bos taurus isolate Mrt17-A interleukin 5 (IL5) gene, complete cds
3655. Bos taurus isolate NR31-B interleukin 5 (IL5) gene, complete cds
3656. Bos taurus isolate NR31-A interleukin 5 (IL5) gene, complete cds
3661. Bos taurus isolate L38-B interleukin 5 (IL5) gene, complete cds
3662. Bos taurus isolate L38-A interleukin 5 (IL5) gene, complete cds
3663. Bos taurus isolate NG45-B interleukin 5 (IL5) gene, complete cds
3664. Bos taurus isolate NG45-A interleukin 5 (IL5) gene, complete cds
